question_detia;listcount_match;listcount_detall;listcount_detia;nb_criteres_match;nb_criteres_detall;nb_criteres_detia;nb_criteres_diff;tags_match;tags_jaccard;tags_detall;tags_detia;tags_communs;tags_only_detall;tags_only_detia;adjs_detall;adjs_detia;ages_detall;ages_detia;residu_detall;residu_detia;latency_ms
crit1_canon;True;LIST;LIST;True;0;0;0;True;1.0;;;;;;;;;;crit1 canon;crit1_canon;2922.7
plus de 10 ans ?;True;LIST;LIST;True;1;1;0;True;1.0;;;;;;;;plus age que 10 ans;plus age que 10 ans;;?;3586.5
plus de 15 ans ?;True;LIST;LIST;True;1;1;0;True;1.0;;;;;;;;plus age que 15 ans;plus age que 15 ans;;?;3438.0
Anb=4° harmonieuse ?;True;LIST;LIST;True;1;1;0;True;1.0;Classe I squelettique;classe i squelettique;classe i squelettique;;;ideale;idéal;;;;?;4269.1
maxillaire en avant ?;True;LIST;LIST;True;1;1;0;True;1.0;Prognathisme maxillaire;Prognathisme maxillaire;prognathisme maxillaire;;;;;;;;?;4076.7
classe iii squelettique ?;True;LIST;LIST;True;1;1;0;True;1.0;Classe III squelettique;classe iii squelettique;classe iii squelettique;;;;;;;;?;3963.7
tous ?;True;LIST;LIST;False;1;0;-1;True;1.0;;;;;;;;Tous;;;;918.6
mandibule proéminente ?;True;LIST;LIST;False;1;0;-1;False;0.0;Prognathisme mandibulaire;;;prognathisme mandibulaire;;;;;;;;748.8
h ?;True;LIST;LIST;True;1;1;0;True;1.0;;;;;;;;Masculin;Homme;;?;3902.4
majeurs ?;True;LIST;LIST;True;1;1;0;True;1.0;;;;;;;;Adultes;Adultes;;?;3672.9
classe 3 squelettique ?;True;LIST;LIST;True;1;1;0;True;1.0;Classe III squelettique;classe iii squelettique;classe iii squelettique;;;;;;;;?;3862.3
maxillaire reculé grave ?;True;LIST;LIST;True;1;1;0;True;1.0;rétrognathie maxillaire;rétrognathie maxillaire;retrognathie maxillaire;;;severe;sévère;;;;?;4474.4
mandibule en retrait ?;True;LIST;LIST;True;1;1;0;True;1.0;rétrognathie mandibulaire;rétrognathie mandibulaire;retrognathie mandibulaire;;;;;;;;?;3975.2
écart légère ?;True;LIST;LIST;True;1;1;0;True;1.0;béance;béance;beance;;;moderee;modéré;;;;?;4090.4
toutes ?;True;LIST;LIST;True;1;1;0;True;1.0;;;;;;;;Féminin;Toutes;;?;3509.3
gone ?;True;LIST;LIST;True;1;1;0;True;1.0;;;;;;;;Enfant;Enfant;;;3364.7
etudiantes ?;True;LIST;LIST;True;2;2;0;True;1.0;;;;;;;;Féminin, étudiante;étudiante, Féminin;;;4279.3
rétrognathie maxillaire grave bénin ?;True;LIST;LIST;True;1;1;0;True;1.0;rétrognathie maxillaire;rétrognathie maxillaire;retrognathie maxillaire;;;modere, severe;sévère, modéré;;;;?;4516.2
au moins 18  ans ?;True;LIST;LIST;True;1;1;0;True;1.0;;;;;;;;au moins 18 ans;au moins 18 ans;;?;3746.6
usure dentaire des dents nuitamment ?;True;LIST;LIST;True;1;1;0;True;1.0;Bruxisme;bruxisme;bruxisme;;;nocturne;nocturne;;;dents;dents;4202.9
