# desynadjs.csv généré par tags2syn.py V1.0.0
# Date: 16/12/2025 19:18:38
# Lignes: 539
stdadj;canonadj;canontag
Mittelzahn;incisif;proalvéolie
links;gauche;béance
links;gauche;latérodéviation
links;gauche;malocclusion
von rechts;droit;béance
von rechts;droit;latérodéviation
von rechts;droit;malocclusion
von links;gauche;béance
von links;gauche;latérodéviation
von links;gauche;malocclusion
Mittelzähne;incisif;proalvéolie
div 1;division 1;classe II d'Angle
div 2;division 2;classe II d'Angle
Division 1;division 1;classe II d'Angle
Abteilung 2;division 2;classe II d'Angle
des Tages;diurne;Bruxisme
des Morgens;diurne;Bruxisme
des Abends;diurne;Bruxisme
nach unten;mandibulaire;endoalvéolie
nach unten;mandibulaire;latérodéviation
nach unten;mandibulaire;malposition
nach unten;mandibulaire;proalvéolie
nach unten;mandibulaire;rétroalvéolie
nach oben;maxillaire;endoalvéolie
nach oben;maxillaire;latérodéviation
nach oben;maxillaire;malposition
nach oben;maxillaire;proalvéolie
nach oben;maxillaire;rétroalvéolie
die Nacht;nocturne;Bruxisme
der Tag;diurne;Bruxisme
am Morgen;diurne;Bruxisme
am Abend;diurne;Bruxisme
später;différé;avulsion
abnehmbar;amovible;contention
abnehmbar;amovible;ligature
abnehmbar;amovible;contention
abnehmbar;amovible;ligature
Anker;fixe;contention
Anker;fixe;ligature
verankert;fixe;contention
verankert;fixe;ligature
anker;fixe;contention
anker;fixe;ligature
Anker;fixe;contention
Anker;fixe;ligature
anterior;antérieur;béance
anterior;antérieur;béance
anterior;antérieur;béance
anterior;antérieur;béance
hinten;postérieur;béance
Hintergründe;postérieur;béance
asymmetrisch;unilatéral;classe II d'Angle
asymmetrisch;unilatéral;classe III d'Angle
vor;antérieur;béance
Vorderseiten;antérieur;béance
niedrig;mandibulaire;endoalvéolie
niedrig;mandibulaire;latérodéviation
niedrig;mandibulaire;malposition
niedrig;mandibulaire;proalvéolie
niedrig;mandibulaire;rétroalvéolie
Verletzung;traumatique;chirurgie
Verletzungen;traumatique;chirurgie
central;central;diastemata
central;central;diastème
central;central;incisive
Zentrale;central;diastemata
Zentrale;central;diastème
Zentrale;central;incisive
Kraftwerke;central;diastemata
Kraftwerke;central;diastème
Kraftwerke;central;incisive
Zentralen;central;diastemata
Zentralen;central;diastème
Zentralen;central;incisive
Komplex;sévère;Bruxisme
Komplex;sévère;Classe III squelettique
Komplex;sévère;Prognathisme mandibulaire
Komplex;sévère;Prognathisme maxillaire
Komplex;sévère;béance
Komplex;sévère;classe II d'Angle
Komplex;sévère;classe III d'Angle
Komplex;sévère;endoalvéolie
Komplex;sévère;proalvéolie
Komplex;sévère;rétroalvéolie
Komplexe;sévère;Bruxisme
Komplexe;sévère;Classe III squelettique
Komplexe;sévère;Prognathisme mandibulaire
Komplexe;sévère;Prognathisme maxillaire
Komplexe;sévère;béance
Komplexe;sévère;classe II d'Angle
Komplexe;sévère;classe III d'Angle
Komplexe;sévère;endoalvéolie
Komplexe;sévère;proalvéolie
Komplexe;sévère;rétroalvéolie
cote;latéral;béance
Bemaßungen;latéral;béance
hinter;postérieur;béance
derrieres;postérieur;béance
abnehmbar;amovible;contention
abnehmbar;amovible;ligature
aufgeschoben;différé;avulsion
aufgeschoben;différé;avulsion
verschiedene;différé;avulsion
verschiedene;différé;avulsion
digital;digital;succion
digital;digital;succion
digital;digital;succion
digital;digital;succion
tagsüber;diurne;Bruxisme
tagsüber;diurne;Bruxisme
div1;division 1;classe II d'Angle
div2;division 2;classe II d'Angle
Finger;digital;succion
Recht;droit;béance
Recht;droit;latérodéviation
Recht;droit;malocclusion
rechts;droit;béance
rechts;droit;latérodéviation
rechts;droit;malocclusion
Geraden;droit;béance
Geraden;droit;latérodéviation
Geraden;droit;malocclusion
Rechte;droit;béance
Rechte;droit;latérodéviation
Rechte;droit;malocclusion
umständlich;encombré;classe I d'Angle
