# desyntags.csv généré par tags2syn.py V1.0.0
# Date: 16/12/2025 19:18:38
# Lignes: 788
stdtag;canontag
Zahn außerhalb des Zahnbogens;ectopie
Zahn, der nicht wächst;inclusion
Zahn, der nicht herauskommt;inclusion
Umleitung der Mittellinie;déviation maxillaire
molare Beziehung der Klasse i;classe I d'Angle
obstruktives Schlafapnoe-Syndrom;apnée du sommeil
Aktivator der Klasse ii;activateur
Klasse 1 Winkel;classe I d'Angle
Klasse 2 eckig;classe II d'Angle
Klasse 3 eckig;classe III d'Angle
klasse i d ecke;classe I d'Angle
klasse ii ecke;classe II d'Angle
Klasse iii eckig;classe III d'Angle
überlappende Zähne;crowding
Unterkieferabweichung;déviation mandibulaire
y-förmig;plaque Y
Zahnlücke;béance
neigt zur Wange;vestibulo-version
neigt zur Zunge;linguo-version
Zunge zwischen den Zähnen;interposition linguale
zwölfjähriger Backenzahn;molaire
sechs Jahre alter Backenzahn;molaire
Nekrose des Fruchtfleisches;nécrose pulpaire
Wurzel, die sich resorbiert;résorption radiculaire
Wurzelresorption;résorption radiculaire
Mundatmung;respiration buccale
Nasenatmung;ventilation nasale
an den Fingernägeln kauen;onychophagie
Schluckstörung;dysfonction linguale
Zahnlosigkeit;agénésie
Fehlen von Zähnen;édentation
Schluckakt;déglutition
Zahnausrichtung;alignement
Entwicklungsanomalie;dysplasie
Schlafapnoe;apnée du sommeil
funktionierendes abnehmbares Gerät;activateur
abnehmbares Gerät transparent;gouttière
Gaumenexpansionsgerät;quad helix
Fixierungsgerät;contention
Herbstgerät;Herbst
raumhaltendes Gerät;mainteneur d'espace
Ring und Henkel;mainteneur d'espace
Ring, der herunterfällt;débandage
beance durch Interposition;interposition linguale
Herbst-Pleuelstange;Herbst
Kieferchirurgie;ostéotomie
ci 2 triebwerk;Propulsor
ci ii triebwerk;Propulsor
Klasse 1 Ecke;classe I d'Angle
Klasse 1 dangle;classe I d'Angle
Klasse 1 zahnärztlich;classe I d'Angle
Klasse 1 skelettartig;Classe I squelettique
Klasse 2 Ecke;classe II d'Angle
Klasse 2 dangle;classe II d'Angle
Klasse 2 zahnärztlich;classe II d'Angle
Klasse 2 Propeller;Propulsor
Klasse 2 skelettartig;Classe II squelettique
Klasse 3 Ecke;classe III d'Angle
Klasse 3 dangle;classe III d'Angle
Klasse 3 zahnärztlich;classe III d'Angle
Klasse 3 skelettartig;Classe III squelettique
eckige i-Klasse;classe I d'Angle
Klasse i dangle;classe I d'Angle
Klasse i Skelett;Classe I squelettique
Klasse ii eckig;classe II d'Angle
Klasse ii dangle;classe II d'Angle
Klasse ii Triebwerk;Propulsor
Klasse ii skelett;Classe II squelettique
Klasse iii eckig;classe III d'Angle
Klasse iii dangle;classe III d'Angle
Klasse iii skelettartig;Classe III squelettique
cone beam ct;scanner
Korrektur Klasse ii;Herbst
Vorderzahn;incisive
Wolfszahn;canine
Bodenzahn;molaire
Zahn in Infraposition;infraposition
Zahn in Supraposition;supraposition
überzähliger Zahn;dent surnuméraire
falscher Zahn;ectopie
falsch positionierter Zahn;malposition
Zahn zu niedrig;infraposition
Zahn zu hoch;supraposition
Babyzähne;dentition temporaire
Vorderzähne;incisive
Milchzähne;dentition temporaire
Glückszähne;diastème
knirschende Zähne;Bruxisme
zu große Zähne;macrodontie
zu kleine Zähne;microdontie
meniskusverschiebung;luxation méniscale
OP-Verschiebung;translation
funktionelle mandibuläre Deviation;proglissement
dento maxilläre Dysharmonie;DDM
Positionswechsel;transposition
elastische Bänder Klasse ii;élastiques intermaxillaires
Gummibänder Klasse iii;élastiques intermaxillaires
Klassengummis;élastiques intermaxillaires
Kompressionsfaden;contention
verletzender Faden;fil qui pique
überstehender Faden;fil qui pique
stechender Faden;fil qui pique
Schluckfunktion;déglutition
knirscht mit den Zähnen;Bruxisme
knirschen mit den Zähnen;Bruxisme
Sauggewohnheit;succion
temporäres orthodontisches Implantat;minivis
nach außen geneigt;vestibulo-version
Zahnfleischentzündung;gingivite
Positionsumkehr;transposition
Kiefer zu groß;macrognathie
Kiefer zu klein;micrognathie
degenerative Gelenkerkrankung;arthrose
Zahnfleischerkrankung;maladie parodontale
Unterkiefer nach hinten;classe II d'Angle
Unterkiefer nach vorne;Prognathisme mandibulaire
zurückliegender Unterkiefer;classe II d'Angle
Platzmangel;crowding
delaire's mask;classe III d'Angle
linguale Fehlstellung;dysfonction linguale
Oberkiefer nach hinten;classe III d'Angle
Oberkiefer nach vorne;Prognathisme maxillaire
zurückliegender Oberkiefer;classe III d'Angle
Distanzierungsbewegung;distalisation
Mesialisierungsbewegung;mésialisation
Versionsbewegung;version
obstruktive Schlafapnoe;apnée du sommeil
Zahnverlust;édentation
Halteplatte;contention
niedrige linguale Position;dysfonction linguale
Vorwärtsprojektion;protrusion
Klasse-II-Triebwerk;Propulsor
Profilradio;céphalométrie
Profilröntgenaufnahme;céphalométrie
übermäßige vertikale Überlappung;supraclusion
neutrale molare Beziehung;classe I d'Angle
Kompositrestauration;composite
Nägel kauen;onychophagie
saugt am Daumen;succion
erhöhter horizontaler Überhang;classe II d'Angle
horizontaler Überhang erhöht;classe II d'Angle
Pleuelstangensystem;bielles
funktionelle reedukative Behandlung;EF
Atmungsstörung;luxation méniscale
Herbsteisenhut;Herbst
lingual vergießen;linguo-version
vestibulär vergießen;vestibulo-version
Kontrollbesuch;contrôle
4 Helix;quad helix
orthodontischer Aktivator;activateur
Zahnausrichtung;alignement
aligneur first;gouttière
unsichtbarer Aligner;gouttière
Alignements first;gouttière
Knochenverankerung;minivis
Skelettverankerung;minivis
Wurzelangulation;torque
Trennring;écarteur
Alveolaranomalie;endoalvéolie
Basalanomalie;endoalvéolie
angeborene Anomalie;dysplasie
abnehmbares Gerät;plaque amovible
Aktivierungsgerät;activateur
Expansionsgerät;quad helix
Zahnspange;bagues
Funktionsgerät;activateur
Multiattachment-Gerät;bagues
orthodontische Apparatur;bagues
Pendulumgerät;pendulum
Zahnbogen;arcade
orthodontischer Bogen;arc
Zahnbogen;arcade
Zahnziehen;avulsion
degenerative Arthropathie;arthrose
entzündliche Arthropathie;arthrite
Kiefergelenk;ATM
artikuliert kreuzt;occlusion croisée
Umkehrgelenk;occlusion inversée
Gesichtsasymmetrie;asymétrie faciale
gelöste Befestigung;débandage
Keramikbefestigungen;céramique
orthodontische Klammern;bagues
übermäßiges Vorrücken;protrusion
Zahnbeance;béance
Körperbewegung;translation
orthodontische Boxen;bagues
offener Mund;respiration buccale
Bracket decollete;débandage
Keramikbrackets;céramique
Zahnkaries;caries dentaires
dringender Fall;urgence
bimaxilläre Chirurgie;ostéotomie
Unterkieferchirurgie;chirurgie
Kieferchirurgie;chirurgie
Kiefer- und Gesichtschirurgie;chirurgie
orthognatische Chirurgie;ostéotomie
Gelenkschnalzen;claquement articulaire
Knall atm;claquement articulaire
Klasse 1;classe I d'Angle
Klasse 2;classe II d'Angle
Klasse 3;classe III d'Angle
Zahnarztklasse;classe I d'Angle
Klasse i;classe I d'Angle
Klasse ii;classe II d'Angle
Klasse iii;classe III d'Angle
clear ausrichten;gouttière
Kegelstrahl;scanner
Dental Crowding;crowding
Zahnverschiebung;déviation maxillaire
Horizontalverschiebung;supraposition
Unterkieferverschiebung;déviation mandibulaire
Deep Bite;supraclusion
Unterkieferdefizit;micrognathie
Kieferdefizit;micrognathie
primärer Schluckakt;dysfonction linguale
fehlender Zahn;agénésie
ankylosierter Zahn;ankylose
gezogener Zahn;avulsion
blockierter Zahn;inclusion
Eckzahn;canine
ektopischer Zahn;ectopie
eingeschlossener Zahn;inclusion
fehlender Zahn;agénésie
Pfahlzahn;rotation
zurückgehaltener Zahn;inclusion
roter Zahn;rotation
zusätzlicher Zahn;dent surnuméraire
überzähliger Zahn;dent surnuméraire
gedrehter Zahn;rotation
dental arch;arcade
Zahnkaries;caries dentaires
Erwachsenengebiss;dentition permanente
Wechselgebiss;dentition mixte
Dauergebiss;dentition permanente
temporäres Gebiss;dentition temporaire
Übergangsgebiss;dentition mixte
Erwachsenenzähne;dentition permanente
definitive Zähne;dentition permanente
gespreizte Zähne;diastème
Lückenzähne;diastemata
Milchzähne;dentition temporaire
Primärzähne;dentition temporaire
transponierte Zähne;transposition
Mischgebiss;dentition mixte
Dauergebiss;dentition permanente
temporäre Verzahnung;dentition temporaire
horizontale Überschreitung;supraposition
Gelenkverschiebung;luxation
Körperverschiebung;translation
Distalverschiebung;distalisation
Mesialverschiebung;mésialisation
Gesichtsabweichung;asymétrie faciale
Seitenabweichung;latérodéviation
Unterkieferabweichung;déviation mandibulaire
Kieferkrümmung;déviation maxillaire
notwendige devitalization;nécrose pulpaire
Zentraldiastema;diastème
Digitaldruck;scanner intra-oral
Pfalzschutzschalter;quad helix
molare Distalisierung;pendulum
Zahndistokklusion;classe II d'Angle
Zahnschmerzen;douleur
linguale Dysfunktion;dysfonction linguale
temporomandibuläre Dysfunktion;ATM
Zahndisharmonie;DDM
dento-maxilläre Dysharmonie;DDM
Frühbehandlung;traitement interceptif
Zahnlücke;diastème
ektopischer Zahn;ectopie
Zahnregression;égression
Trenngummi;écarteur
intermaxilläre Gummibänder;élastiques intermaxillaires
Zahnabdruck;empreinte
digitaler Fingerabdruck;scanner intra-oral
Zahnschmelze;crowding
übermäßiger Ausbruch;supraposition
Interdentalraum;béance
generalisierter Abstand;diastemata
Zahnzwischenräume;diastemata
Mehrfachräume;diastemata
kieferorthopädische Untersuchung;consultation
Übermaß an Unterkiefer;macrognathie
exzessive Maxilla;macrognathie
langsame Expansion;quad helix
schnelle Expansion;quad helix
Zahnextraktion;avulsion
Bogenfaden;arc
Metalldraht;arc
Faden niti;NiTi
orthodontischer Draht;arc
rechteckiger Faden;arc
runder Faden;arc
vorstehender Draht;fil qui pique
thermoaktiver Faden;NiTi
Kaufunktion;mastication
Kaufunktion;mastication
Phonatorfunktion;phonation
Funktionsapparatur;activateur
Knochenfusion;ankylose
rotes Zahnfleisch;gingivite
gingivale Rezession;récession gingivale
Unterkiefergleiten;proglissement
orthodontische Schiene;gouttière
transparente Regenrinne;gouttière
großer Kiefer;macrognathie
großer Zahn;molaire
großer Kiefer;macrognathie
Mundhygiene;hygiène
Zahnhygiene;hygiène
Kieferhypoplasie;classe III d'Angle
3D-Bildgebung;scanner
impacted tooth;inclusion
Zahnneigung;version
linguale Neigung;linguo-version
Wurzelneigung;torque
Gelenkentzündung;arthrite
Zahnfleischentzündung;gingivite
orthodontisches Abfangen;traitement interceptif
linguale Interposition;interposition linguale
Zahnintrusion;ingression
Kieferchirurgie;ostéotomie
niedrige Sprache;dysfonction linguale
lateral ceph;céphalométrie
kariöse Läsion;caries dentaires
farbige Ligatur;ligature
elastische Ligaturen;ligature
Metallbindungen;ligature
loose bracket;débandage
Atm-Luxation;luxation
Bandscheibenluxation;luxation méniscale
Meniskusluxation;luxation méniscale
Platzhalter;mainteneur d'espace
schlecht platziert;ectopie
Parodontalerkrankung;maladie parodontale
Zahnfehlstellung;malocclusion
Zahnfehlstellung;malposition
Rotationsfehlstellung;rotation
vorgeschobener Unterkiefer;Prognathisme mandibulaire
Unterkiefer proeminente;Prognathisme mandibulaire
zurückgezogener Unterkiefer;classe II d'Angle
schlechte Verzahnung;malocclusion
schlechte Okklusion;malocclusion
Oberkiefer vorwärts;Prognathisme maxillaire
proeminenter Oberkiefer;Prognathisme maxillaire
Oberkiefer zurück;classe III d'Angle
Zahn-Mesiokklusion;classe III d'Angle
rostfreies Metall;métal
Mini-Implantat;minivis
gemischtes Gebiss;dentition mixte
stinkender Biss;béance
Kreuzbiss;occlusion croisée
umgekehrter Biss;occlusion inversée
offener Biss;béance
tiefer Biss;supraclusion
Pulpentod;nécrose pulpaire
Mundatmung;respiration buccale
Körperbewegung;translation
Eindringlingsbewegung;ingression
Nailbiting;onychophagie
Zahn-Zwergenwuchs;microdontie
Nasenatmung;ventilation nasale
Pulpanekrose;nécrose pulpaire
Zahnreinigung;détartrage
Kreuzbiss;occlusion croisée
umgekehrte Okklusion;occlusion inversée
umgekehrte Okklusion;occlusion inversée
normale Okklusion;classe I d'Angle
Open Bite;béance
Kieferoperation;chirurgie
orthognathische Chirurgie;chirurgie
Überbiss;supraclusion
over jet;supraposition
Overjet erhöht;classe II d'Angle
Zahnpanorama;panoramique
Periodontalerkrankung;maladie parodontale
permanentes Gebiss;dentition permanente
Zahnwechsel;transposition
kleiner Kiefer;micrognathie
