# frsyntags.csv généré par tags2syn.py V1.0.1
# Langue: fr
# Date: 17/12/2025 13:57:58
# Lignes: 27
stdtag;canontag
activateur de classe ii;activateur
absence de dent;agénésie
alignement des dents;alignement
appareil amovible fonctionnel;activateur
activateur orthodontique;activateur
alignement dentaire;alignement
appareil d'activation;activateur
appareil fonctionnel;activateur
dent absente;agénésie
dent ankylosee;ankylose
dent manquante;agénésie
functional appliance;activateur
fusion osseuse;ankylose
activateur;activateur
aero;aéro
aerophonoscope;aéro
agenesie;agénésie
alignement;alignement
ankilose;ankylose
ankylose;ankylose
anodontie;agénésie
correction;alignement
hypodontie;agénésie
monobloc;activateur
oligodontie;agénésie
redressement;alignement
straightening;alignement
