# glossaire_ajouts.csv V1.0.0 - 05/01/2026 08:39:13
# Nouvelles entrées à ajouter au glossaire.csv
# Colonnes de traduction vides à compléter
type;fr;en;de;es;it;ja;pt;pl;ro;th;ar;cn
# ═══════════════════════════════════════════════════════════════════════════════
# NOUVEAUX ADJECTIFS CANONIQUES (a)
# ═══════════════════════════════════════════════════════════════════════════════
a;bilatéral;bilateral;;;;;;;;;;
a;bilatérale;bilateral;;;;;;;;;;
a;bilatéraux;bilateral;;;;;;;;;;
a;bilatérales;bilateral;;;;;;;;;;
a;symétrique;symmetrical;;;;;;;;;;
a;symétriques;symmetrical;;;;;;;;;;
a;permanent;permanent;;;;;;;;;;
a;permanente;permanent;;;;;;;;;;
a;permanents;permanent;;;;;;;;;;
a;permanentes;permanent;;;;;;;;;;
# ═══════════════════════════════════════════════════════════════════════════════
# NOUVEAUX PATTERNS ADJECTIFS (pa)
# ═══════════════════════════════════════════════════════════════════════════════
# bilatéral
pa;des deux côtés;on both sides;;;;;;;;;;
pa;deux côtés;both sides;;;;;;;;;;
pa;de chaque côté;on each side;;;;;;;;;;
pa;les deux côtés;both sides;;;;;;;;;;
pa;bilateral;bilateral;;;;;;;;;;
# symétrique
pa;équilibré;balanced;;;;;;;;;;
pa;équilibrée;balanced;;;;;;;;;;
pa;équilibrées;balanced;;;;;;;;;;
pa;équilibrés;balanced;;;;;;;;;;
pa;égal;equal;;;;;;;;;;
pa;égale;equal;;;;;;;;;;
# permanent
pa;définitif;definitive;;;;;;;;;;
pa;définitive;definitive;;;;;;;;;;
pa;définitives;definitive;;;;;;;;;;
pa;définitifs;definitive;;;;;;;;;;
pa;pour toujours;forever;;;;;;;;;;
pa;à vie;for life;;;;;;;;;;
# amovible
pa;qui s'enlève;removable;;;;;;;;;;
# antérieur
pa;devant;in front;;;;;;;;;;
# atypique
pa;anormal;abnormal;;;;;;;;;;
pa;anormale;abnormal;;;;;;;;;;
pa;anormales;abnormal;;;;;;;;;;
pa;anormaux;abnormal;;;;;;;;;;
# droit
pa;coté droit;right side;;;;;;;;;;
pa;à droite;on the right;;;;;;;;;;
# encombré
pa;trop serré;too tight;;;;;;;;;;
# fixe
pa;collé;glued;;;;;;;;;;
# frontal
pa;de face;from the front;;;;;;;;;;
# gauche
pa;coté gauche;left side;;;;;;;;;;
# idéal
pa;optimal;optimal;;;;;;;;;;
pa;optimale;optimal;;;;;;;;;;
# immédiat
pa;tout de suite;right away;;;;;;;;;;
pa;de suite;immediately;;;;;;;;;;
# inclus
