canon;type;Xgn;synonymes;XX;adjs;XY;m;f;mp;fp;frcanon;fradjs
アクティベーター;p;m;機能デバイス,機能アプライアンス,機能的な取り外し可能アプライアンス,起動装置,歯列矯正アクチベーター,モノブロック,クラスIIアクティベーター;XX;;XY;;;;;activateur;
エアロ;p;m;エアロフォノスコープ;XX;;XY;;;;;aéro;
発生;p;f;アジェネジー,欠損歯,無歯,歯牙下部,オリゴドンティ,歯列矯正学,欠損歯;XX;;XY;;;;;agénésie;
アライメント;p;m;ターンアラウンド,修正,矯正,歯並び,歯並び;XX;;XY;;;;;alignement;
アンキローシス;p;f;鉤状歯,骨融合,アンキローゼ;XX;;XY;;;;;ankylose;
睡眠時無呼吸症候群;p;f;睡眠時無呼吸症候群,あえて,閉塞性睡眠時無呼吸症候群,閉塞性睡眠時無呼吸症候群,サオス,いびき;XX;;XY;;;;;apnée du sommeil;
円弧;p;m;歯列矯正ワイヤー,ワイヤー,ワイヤー,アーチワイヤー,金属線,丸線,角線,弓ワイヤー,歯列矯正アーチ;XX;;XY;;;;;arc;
アーケード;p;f;歯列弓,歯列弓,歯列弓;XX;;XY;;;;;arcade;
関節炎;p;f;関節炎,炎症性関節症;XX;;XY;;;;;arthrite;
骨関節炎;p;f;骨関節炎,変性関節症,変性関節疾患;XX;;XY;;;;;arthrose;
顔の非対称性;p;f;非対称顔,顔面偏差値;XX;;XY;;;;;asymétrie faciale;
アトム;p;f;顎関節,大気障害,顎機能障害,tmj,tmd;XX;;XY;;;;;atm;
剥離;p;f;抜歯,訪問,歯牙矯正術,抽出,抜歯,プル,抜歯;XX;即時,延期,予定通り,合計;XY;;;;;avulsion;immédiat,différé,programmé,total
リング;p;fp;括弧,ファスナー,ピンズ,中括弧,ブラケット,歯列矯正装置,歯科器具,マルチアタッチメント,歯列矯正ブラケット,歯列矯正;XX;;XY;;;;;bagues;
がらんどう;p;f;ビーンス,オープンバイト,歯間,歯間スペース,ぽかん,オープンバイト,オープンコック,オープンバイト,スペーシング,ギャップ,空洞;XX;前,バック,側面,左,右,厳しい,控えめ;XY;;;;;béance;antérieur,postérieur,latéral,gauche,droit,sévère,modéré
コネクティングロッド;p;fp;コネクティングロッド,フォーサス,パワースコープ,コネクティングロッドシステム;XX;;XY;;;;;bielles;
バイプロ;p;f;双アルベオリズム,肺胞;XX;;XY;;;;;bipro;
