# logrechercheout.csv V1.0.1 - 02/01/2026 19:30:34
module;timestamp;temps_ms;languesaisie;langueutilisee;modulelangue;questionoriginale;question;filtres;sql;tri;base;mode;nb_patients;pathologies;ages;residu;erreur;session_id;ip_utilisateur;rating;type_probleme;commentaire
search.py;01/12/2025 16:59:21;24;Auto;fr;glossaire_fr;bruxisme;bruxisme;;;;base100.db;rapide;26;;;;;29f04ee0-72de-44e0-ba5a-3c90a97cba46;192.168.1.129;👎;Bug IHM;Affichage cassé sur mobile.
search.py;01/12/2025 19:00:24;37;Auto;ja;glossaire_resolution;歯軋り;bruxomanie;;;;base100.db;rapide;26;;;;;543b11a5-b234-4945-848c-906a36c0138e;127.0.0.1;👎;Pas assez de patients;Où sont passés mes patients ?
search.py;01/12/2025 20:12:27;54;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;rapide;26;Bruxisme;;;;cbbc91d0-8445-4efd-a774-26d031abb574;127.0.0.1;👍;;Très bien, continue comme ça !
search.py;02/12/2025 00:32:34;637;es;es;glossaire;bruxisme;bruxisme;"{""criteres"": []}";;;base100.db;ia;0;;;;Erreur chargement références: charger_modeles_ia() got an unexpected keyword argument 'debug';435abbc3-85fa-431d-9d64-bcec5820144f;127.0.0.1;👎;Autre;Quelque chose ne va pas.
search.py;02/12/2025 08:28:29;27;Auto;fr;glossaire_fr;bruxisme;bruxisme;;;;base100.db;rapide;26;;;;;d5ee4ebc-aa55-4259-97b7-d3e347cc7516;127.0.0.1;👎;Trop de patients;Beaucoup trop de résultats, impossible de trouver le bon.
search.py;02/12/2025 21:51:45;4313;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base50000.db;ia;12635;Bruxisme;;;;1558efbd-5044-4741-8c6d-68a6696618d6;192.168.1.129;👍;;Top, rien à redire.
search.py;02/12/2025 22:22:41;106;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;rapide;26;Bruxisme;;;;ae1991fd-912b-4a19-9473-a9efd326ae3c;127.0.0.1;👍;;Nickel chrome !
search.py;03/12/2025 11:18:43;55;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;rapide;26;Bruxisme;;;;4188b5a8-a35a-442c-a086-32d958dcd4e8;127.0.0.1;👎;Pas assez de patients;Je sais qu'il y a plus de patients.
search.py;03/12/2025 12:46:57;4030;ja;ja;;歯軋り;歯軋り;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""歯軋り"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;ia;26;Bruxisme;;;;04fbcd69-eb7e-4c64-a46d-fce4847de8e4;192.168.1.196;👎;Autre;Erreur incompréhensible.
search.py;03/12/2025 18:31:38;17;Auto;fr;glossaire_fr;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""bruxisme"", ""label"": ""bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""bruxisme""}}]}";;;base100.db;rapide;26;bruxisme;;;;339c8e45-fad8-4e36-b1fa-c4ce49e7e781;127.0.0.1;👍;;Très satisfait de cette recherche.
search.py;04/12/2025 02:25:19;129;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;rapide;26;Bruxisme;;;;046a9456-18e3-4dcf-ae29-0fefb4dd6b2a;127.0.0.1;👎;Trop de patients;Beaucoup trop de résultats, impossible de trouver le bon.
search.py;04/12/2025 04:41:07;4240;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;ia;26;Bruxisme;;;;d3c87f00-343c-4619-bc6c-e24a39d0d379;127.0.0.1;👎;Bug IHM;Bouton de recherche bloqué.
search.py;04/12/2025 11:28:26;126;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;rapide;26;Bruxisme;;;;9d3f4483-4a58-4c87-a07a-174a15933e97;127.0.0.1;👍;;Super outil, très pratique !
search.py;04/12/2025 15:43:41;95;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;rapide;26;Bruxisme;;;;a5208088-ee7a-4d28-86e1-7f8f8785450c;127.0.0.1;👍;;Outil performant, je recommande.
search.py;04/12/2025 22:32:41;12;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;rapide;26;Bruxisme;;;;db30eb93-40dc-42fc-8ce4-96d85a4113a0;127.0.0.1;👍;;Outil performant, je recommande.
search.py;05/12/2025 09:37:25;4033;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;compare;26;Bruxisme;;;;3a9781b2-dbbd-48e3-8489-83b8d69693cd;127.0.0.1;👎;Trop de patients;Impossible de trier autant de patients.
search.py;06/12/2025 00:00:44;3312;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;ia;26;Bruxisme;;;;711286c3-a1ac-45af-8adf-29fcd3735d48;127.0.0.1;👍;;Recherche impeccable !
search.py;06/12/2025 15:18:04;18;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;rapide;26;Bruxisme;;;;30d5e79f-39f8-4302-bcff-2081f38bdd7b;127.0.0.1;👎;Bug IHM;Bug visuel sur les cartes patients.
search.py;06/12/2025 18:58:01;21;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;rapide;26;Bruxisme;;;;f979aa24-b6af-42fb-8181-6a1aff13b698;127.0.0.1;👎;Trop de patients;Impossible de trier autant de patients.
search.py;06/12/2025 19:13:51;142;Auto;fr;deepl;Montre-moi les patients ayant une morsure;Montre-moi les patients ayant une morsure;;;;base100.db;rapide;100;;;montre moi les patients ayant une morsure;;39f51c18-3bc3-45a0-996b-e670e3081934;192.168.1.83;👎;Trop de patients;Beaucoup trop de résultats, impossible de trouver le bon.
search.py;06/12/2025 19:21:09;21;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;rapide;26;Bruxisme;;;;072edaf0-b621-4e0a-a8a4-a8087f8c78f9;127.0.0.1;👎;Autre;Je ne comprends pas les résultats.
search.py;06/12/2025 21:10:12;12;Auto;fr;glossaire_fr;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""bruxisme"", ""label"": ""bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""bruxisme""}}]}";;;base100.db;rapide;26;bruxisme;;;;d7530310-a9ef-4a1e-b059-dd766b611ed1;127.0.0.1;👎;Trop de patients;J'ai eu des milliers de résultats !
search.py;06/12/2025 22:02:32;812;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;ia;26;Bruxisme;;;;ca8791a4-4fad-440d-855a-93b4c5169fdc;192.168.1.84;👎;Pas assez de patients;La recherche ignore certains cas.
search.py;07/12/2025 00:15:40;22;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;rapide;26;Bruxisme;;;;8ec4484c-1a4c-4a07-b700-d3eebd91c61c;192.168.1.75;👍;;Parfait, recherche rapide et efficace.
search.py;07/12/2025 14:12:02;2101;es;es;glossaire;bruxisme;bruxisme;"{""criteres"": []}";;;base100.db;ia;100;;;bruxisme;;e6d5cdd4-2bbb-4b58-847f-ce2cd7d6429c;192.168.1.82;👎;Bug IHM;Bouton de recherche bloqué.
search.py;07/12/2025 23:54:44;126;auto;fr;glossaire_fr;bruxisme;bruxisme;;;;base100.db;rapide;100;;;bruxisme;;7f969fb2-a48f-4119-b4b2-3c469934d2a5;127.0.0.1;👍;;Résultats très pertinents, merci !
