# Généré par tags2syn.py V1.0.3
# Date : 27/12/2025 19:47:33
# Nombre de lignes : 539
stdadj;canonadj;canontag;frsynadj
dents centrales;incisif;proalvéolie;dents centrales
dent du centre;incisif;proalvéolie;dent du centre
mandibulaires;mandibulaire;endoalvéolie;mandibulaires
mandibulaires;mandibulaire;latérodéviation;mandibulaires
mandibulaires;mandibulaire;malposition;mandibulaires
mandibulaires;mandibulaire;proalvéolie;mandibulaires
mandibulaires;mandibulaire;rétroalvéolie;mandibulaires
harmonieuses;idéal;classe i squelettique;harmonieuses
infectieuses;infectieux;douleur;infectieuses
mandibulaire;mandibulaire;endoalvéolie;mandibulaire
mandibulaire;mandibulaire;latérodéviation;mandibulaire
mandibulaire;mandibulaire;malposition;mandibulaire
mandibulaire;mandibulaire;proalvéolie;mandibulaire
mandibulaire;mandibulaire;rétroalvéolie;mandibulaire
posterieures;postérieur;béance;postérieures
traumatiques;traumatique;chirurgie;traumatiques
anterieures;antérieur;béance;antérieures
asymetrique;unilatéral;classe ii d'angle;asymétrique
asymetrique;unilatéral;classe iii d'angle;asymétrique
extractible;amovible;contention;extractible
extractible;amovible;ligature;extractible
harmonieuse;idéal;classe i squelettique;harmonieuse
importantes;sévère;béance;importantes
importantes;sévère;bruxisme;importantes
importantes;sévère;classe ii d'angle;importantes
importantes;sévère;classe iii d'angle;importantes
importantes;sévère;classe iii squelettique;importantes
importantes;sévère;endoalvéolie;importantes
importantes;sévère;proalvéolie;importantes
importantes;sévère;prognathisme mandibulaire;importantes
importantes;sévère;prognathisme maxillaire;importantes
importantes;sévère;rétroalvéolie;importantes
infectieuse;infectieux;douleur;infectieuse
maxillaires;maxillaire;endoalvéolie;maxillaires
maxillaires;maxillaire;latérodéviation;maxillaires
maxillaires;maxillaire;malposition;maxillaires
maxillaires;maxillaire;proalvéolie;maxillaires
maxillaires;maxillaire;rétroalvéolie;maxillaires
posterieure;postérieur;béance;postérieure
posterieurs;postérieur;béance;postérieurs
programmees;programmé;avulsion;programmées
subdivision;unilatéral;classe ii d'angle;subdivision
subdivision;unilatéral;classe iii d'angle;subdivision
traumatique;traumatique;chirurgie;traumatique
unilaterale;unilatéral;classe ii d'angle;unilatérale
unilaterale;unilatéral;classe iii d'angle;unilatérale
anterieure;antérieur;béance;antérieure
anterieurs;antérieur;béance;antérieurs
detachable;amovible;contention;détachable
detachable;amovible;ligature;détachable
division 1;division 1;classe ii d'angle;division 1
division 2;division 2;classe ii d'angle;division 2
encombrees;encombré;classe i d'angle;encombrées
harmonieux;idéal;classe i squelettique;harmonieux
immediates;immédiat;avulsion;immédiates
importante;sévère;béance;importante
importante;sévère;bruxisme;importante
importante;sévère;classe ii d'angle;importante
importante;sévère;classe iii d'angle;importante
importante;sévère;classe iii squelettique;importante
importante;sévère;endoalvéolie;importante
importante;sévère;proalvéolie;importante
importante;sévère;prognathisme mandibulaire;importante
importante;sévère;prognathisme maxillaire;importante
importante;sévère;rétroalvéolie;importante
importants;sévère;béance;importants
importants;sévère;bruxisme;importants
importants;sévère;classe ii d'angle;importants
importants;sévère;classe iii d'angle;importants
importants;sévère;classe iii squelettique;importants
importants;sévère;endoalvéolie;importants
importants;sévère;proalvéolie;importants
importants;sévère;prognathisme mandibulaire;importants
importants;sévère;prognathisme maxillaire;importants
importants;sévère;rétroalvéolie;importants
infectieux;infectieux;douleur;infectieux
maintenant;immédiat;avulsion;maintenant
maxillaire;maxillaire;endoalvéolie;maxillaire
maxillaire;maxillaire;latérodéviation;maxillaire
maxillaire;maxillaire;malposition;maxillaire
maxillaire;maxillaire;proalvéolie;maxillaire
maxillaire;maxillaire;rétroalvéolie;maxillaire
posterieur;postérieur;béance;postérieur
programmee;programmé;avulsion;programmée
programmes;programmé;avulsion;programmés
prononcees;sévère;béance;prononcées
prononcees;sévère;bruxisme;prononcées
prononcees;sévère;classe ii d'angle;prononcées
prononcees;sévère;classe iii d'angle;prononcées
prononcees;sévère;classe iii squelettique;prononcées
