# Généré par tags2syn.py V1.0.3
# Date : 27/12/2025 19:47:33
# Nombre de lignes : 778
stdtag;canontag;frsynonyme
dent en dehors de l arcade;ectopie;dent en dehors de l'arcade
syndrome d apnees obstructives du sommeil;apnée du sommeil;syndrome d'apnées obstructives du sommeil
dent qui ne pousse pas;inclusion;dent qui ne pousse pas
dent qui ne sort pas;inclusion;dent qui ne sort pas
deviation de la ligne mediane;déviation maxillaire;déviation de la ligne médiane
relation molaire de classe i;classe i d'angle;relation molaire de classe i
activateur de classe ii;activateur;activateur de classe ii
appareil d expansion palatine;quad helix;appareil d'expansion palatine
appareil mainteneur d espace;mainteneur d'espace;appareil mainteneur d'espace
classe 1 d angle;classe i d'angle;classe 1 d'angle
classe 2 d angle;classe ii d'angle;classe 2 d'angle
classe 3 d angle;classe iii d'angle;classe 3 d'angle
classe i d angle;classe i d'angle;classe i d'angle
classe ii d angle;classe ii d'angle;classe ii d'angle
classe iii d angle;classe iii d'angle;classe iii d'angle
dents qui se chevauchent;crowding;dents qui se chevauchent
deviation de la mandibule;déviation mandibulaire;déviation de la mandibule
en forme de y;plaque y;en forme de y
espace entre les dents;béance;espace entre les dents
incline vers l exterieur;vestibulo-version;incliné vers l'extérieur
incline vers la joue;vestibulo-version;incliné vers la joue
incline vers la langue;linguo-version;incliné vers la langue
langue entre les dents;interposition linguale;langue entre les dents
molaire de douze ans;molaire;molaire de douze ans
molaire de six ans;molaire;molaire de six ans
necrose de la pulpe;nécrose pulpaire;nécrose de la pulpe
racine qui se resorbe;résorption radiculaire;racine qui se résorbe
resorption de la racine;résorption radiculaire;résorption de la racine
respiration par la bouche;respiration buccale;respiration par la bouche
respiration par le nez;ventilation nasale;respiration par le nez
se ronger les ongles;onychophagie;se ronger les ongles
trouble de l atm;luxation méniscale;trouble de l'atm
trouble de la deglutition;dysfonction linguale;trouble de la déglutition
absence de dent;agénésie;absence de dent
absence de dents;édentation;absence de dents
acte de deglutition;déglutition;acte de déglutition
alignement des dents;alignement;alignement des dents
anomalie de developpement;dysplasie;anomalie de développement
apnee du sommeil;apnée du sommeil;apnée du sommeil
appareil amovible fonctionnel;activateur;appareil amovible fonctionnel
appareil amovible transparent;gouttière;appareil amovible transparent
appareil d activation;activateur;appareil d'activation
appareil d expansion;quad helix;appareil d'expansion
appareil de contention;contention;appareil de contention
appareil de herbst;herbst;appareil de herbst
appareil multi attaches;bagues;appareil multi-attaches
articulation temporo mandibulaire;atm;articulation temporo-mandibulaire
bague et anse;mainteneur d'espace;bague et anse
bague qui tombe;débandage;bague qui tombe
beance par interposition;interposition linguale;béance par interposition
bielle de herbst;herbst;bielle de herbst
chirurgie des machoires;ostéotomie;chirurgie des mâchoires
chirurgie maxillo faciale;chirurgie;chirurgie maxillo-faciale
ci 2 propulseur;propulsor;ci 2 propulseur
ci ii propulseur;propulsor;ci ii propulseur
classe 1 dangle;classe i d'angle;classe 1 dangle
classe 1 dentaire;classe i d'angle;classe 1 dentaire
classe 1 squelettique;classe i squelettique;classe 1 squelettique
classe 2 dangle;classe ii d'angle;classe 2 dangle
classe 2 dentaire;classe ii d'angle;classe 2 dentaire
classe 2 propulseur;propulsor;classe 2 propulseur
classe 2 squelettique;classe ii squelettique;classe 2 squelettique
classe 3 dangle;classe iii d'angle;classe 3 dangle
classe 3 dentaire;classe iii d'angle;classe 3 dentaire
classe 3 squelettique;classe iii squelettique;classe 3 squelettique
classe i dangle;classe i d'angle;classe i dangle
classe i squelettique;classe i squelettique;classe i squelettique
classe ii dangle;classe ii d'angle;classe ii dangle
classe ii propulseur;propulsor;classe ii propulseur
classe ii squelettique;classe ii squelettique;classe ii squelettique
classe iii dangle;classe iii d'angle;classe iii dangle
classe iii squelettique;classe iii squelettique;classe iii squelettique
cone beam ct;scanner;cone beam ct
correction classe ii;herbst;correction classe ii
dent de devant;incisive;dent de devant
dent de loup;canine;dent de loup
dent du fond;molaire;dent du fond
dent en infraposition;infraposition;dent en infraposition
dent en supraposition;supraposition;dent en supraposition
dent en trop;dent surnuméraire;dent en trop
dent mal placee;ectopie;dent mal placée
dent mal positionnee;malposition;dent mal positionnée
dent trop basse;infraposition;dent trop basse
dent trop haute;supraposition;dent trop haute
dents d adulte;dentition permanente;dents d'adulte
dents de bebe;dentition temporaire;dents de bébé
dents de devant;incisive;dents de devant
dents de lait;dentition temporaire;dents de lait
dents du bonheur;diastème;dents du bonheur
dents qui grincent;bruxisme;dents qui grincent
dents trop grandes;macrodontie;dents trop grandes
dents trop petites;microdontie;dents trop petites
deplacement du menisque;luxation méniscale;déplacement du ménisque
deplacement en bloc;translation;déplacement en bloc
deviation mandibulaire fonctionnelle;proglissement;déviation mandibulaire fonctionnelle
dysfonction temporo mandibulaire;atm;dysfonction temporo-mandibulaire
dysharmonie dento maxillaire;ddm;dysharmonie dento-maxillaire
echange de position;transposition;échange de position
elastiques classe ii;élastiques intermaxillaires;élastiques classe ii
elastiques classe iii;élastiques intermaxillaires;élastiques classe iii
elastiques de classe;élastiques intermaxillaires;élastiques de classe
fil d arc;arc;fil d'arc
fil de contention;contention;fil de contention
fil qui blesse;fil qui pique;fil qui blesse
fil qui depasse;fil qui pique;fil qui dépasse
fil qui pique;fil qui pique;fil qui pique
fonction de deglutition;déglutition;fonction de déglutition
grince des dents;bruxisme;grince des dents
grincent des dents;bruxisme;grincent des dents
habitude de sucer;succion;habitude de sucer
hygiene bucco dentaire;hygiène;hygiène bucco-dentaire
implant orthodontique temporaire;minivis;implant orthodontique temporaire
inflammation des gencives;gingivite;inflammation des gencives
inversion de position;transposition;inversion de position
machoire trop grande;macrognathie;mâchoire trop grande
machoire trop petite;micrognathie;mâchoire trop petite
mainteneur d espace;mainteneur d'espace;mainteneur d'espace
maladie articulaire degenerative;arthrose;maladie articulaire dégénérative
maladie des gencives;maladie parodontale;maladie des gencives
mandibule en arriere;classe ii d'angle;mandibule en arrière
mandibule en avant;prognathisme mandibulaire;mandibule en avant
mandibule en retrait;classe ii d'angle;mandibule en retrait
manque de place;crowding;manque de place
masque de delaire;classe iii d'angle;masque de delaire
mauvaise position linguale;dysfonction linguale;mauvaise position linguale
maxillaire en arriere;classe iii d'angle;maxillaire en arrière
maxillaire en avant;prognathisme maxillaire;maxillaire en avant
maxillaire en retrait;classe iii d'angle;maxillaire en retrait
mouvement d intrusion;ingression;mouvement d'intrusion
mouvement de distalisation;distalisation;mouvement de distalisation
mouvement de mesialisation;mésialisation;mouvement de mésialisation
mouvement de version;version;mouvement de version
obstructive sleep apnea;apnée du sommeil;obstructive sleep apnea
perte de dents;édentation;perte de dents
plaque de contention;contention;plaque de contention
position linguale basse;dysfonction linguale;position linguale basse
prise d empreinte;empreinte;prise d'empreinte
probleme d occlusion;malocclusion;problème d'occlusion
projection en avant;protrusion;projection en avant
propulseur classe ii;propulsor;propulseur classe ii
radio de profil;céphalométrie;radio de profil
radiographie de profil;céphalométrie;radiographie de profil
recouvrement vertical excessif;supraclusion;recouvrement vertical excessif
relation molaire neutre;classe i d'angle;relation molaire neutre
restauration en composite;composite;restauration en composite
ronger les ongles;onychophagie;ronger les ongles
scanner intra oral;scanner intra-oral;scanner intra-oral
sous dimensionnement dentaire;microdontie;sous-dimensionnement dentaire
sous occlusion anterieure;infraclusion;sous-occlusion antérieure
sous occlusion dentaire;classe iii d'angle;sous-occlusion dentaire
suce le pouce;succion;suce le pouce
surplomb horizontal accru;classe ii d'angle;surplomb horizontal accru
surplomb horizontal augmente;classe ii d'angle;surplomb horizontal augmenté
systeme de bielles;bielles;système de bielles
traitement reeducateur fonctionnel;ef;traitement rééducateur fonctionnel
verin de herbst;herbst;vérin de herbst
verse en lingual;linguo-version;versé en lingual
verse en vestibulaire;vestibulo-version;versé en vestibulaire
vis d ancrage;minivis;vis d'ancrage
visite de controle;contrôle;visite de contrôle
4 helix;quad helix;4 helix
activateur orthodontique;activateur;activateur orthodontique
alignement dentaire;alignement;alignement dentaire
aligneur first;gouttière;aligneur first
aligneur invisible;gouttière;aligneur invisible
aligneurs first;gouttière;aligneurs first
ancrage osseux;minivis;ancrage osseux
ancrage squelettique;minivis;ancrage squelettique
angulation radiculaire;torque;angulation radiculaire
anneau separateur;écarteur;anneau séparateur
anomalie alveolaire;endoalvéolie;anomalie alvéolaire
anomalie basale;endoalvéolie;anomalie basale
anomalie congenitale;dysplasie;anomalie congénitale
appareil amovible;plaque amovible;appareil amovible
appareil dentaire;bagues;appareil dentaire
appareil fonctionnel;activateur;appareil fonctionnel
appareil orthodontique;bagues;appareil orthodontique
appareil pendulum;pendulum;appareil pendulum
arc dentaire;arcade;arc dentaire
arc orthodontique;arc;arc orthodontique
arcade dentaire;arcade;arcade dentaire
arrachage dentaire;avulsion;arrachage dentaire
arthropathie degenerative;arthrose;arthropathie dégénérative
arthropathie inflammatoire;arthrite;arthropathie inflammatoire
articule croise;occlusion croisée;articulé croisé
articule inverse;occlusion inversée;articulé inversé
asymetrie faciale;asymétrie faciale;asymétrie faciale
attache decollee;débandage;attache décollée
attaches ceramiques;céramique;attaches céramiques
attaches orthodontiques;bagues;attaches orthodontiques
avancement excessif;protrusion;avancement excessif
beance dentaire;béance;béance dentaire
bodily movement;translation;bodily movement
boitiers orthodontiques;bagues;boîtiers orthodontiques
bouche ouverte;respiration buccale;bouche ouverte
bracket decolle;débandage;bracket décollé
brackets ceramiques;céramique;brackets céramiques
caries dentaires;caries dentaires;caries dentaires
cas urgent;urgence;cas urgent
chirurgie bimaxillaire;ostéotomie;chirurgie bimaxillaire
chirurgie mandibulaire;chirurgie;chirurgie mandibulaire
chirurgie maxillaire;chirurgie;chirurgie maxillaire
chirurgie orthognathique;ostéotomie;chirurgie orthognathique
claquement articulaire;claquement articulaire;claquement articulaire
claquement atm;claquement articulaire;claquement atm
classe 1;classe i d'angle;classe 1
classe 2;classe ii d'angle;classe 2
classe 3;classe iii d'angle;classe 3
classe dentaire;classe i d'angle;classe dentaire
classe i;classe i d'angle;classe i
classe ii;classe ii d'angle;classe ii
classe iii;classe iii d'angle;classe iii
clear aligner;gouttière;clear aligner
cone beam;scanner;cone beam
crowding dentaire;crowding;crowding dentaire
decalage dentaire;déviation maxillaire;décalage dentaire
decalage horizontal;supraposition;décalage horizontal
decalage mandibulaire;déviation mandibulaire;décalage mandibulaire
deep bite;supraclusion;deep bite
deficit mandibulaire;micrognathie;déficit mandibulaire
deficit maxillaire;micrognathie;déficit maxillaire
deglutition primaire;dysfonction linguale;déglutition primaire
dent absente;agénésie;dent absente
dent ankylosee;ankylose;dent ankylosée
dent arrachee;avulsion;dent arrachée
dent bloquee;inclusion;dent bloquée
dent canine;canine;dent canine
dent ectopique;ectopie;dent ectopique
dent incluse;inclusion;dent incluse
dent manquante;agénésie;dent manquante
dent pivotee;rotation;dent pivotée
dent retenue;inclusion;dent retenue
dent rotee;rotation;dent rotée
dent supplementaire;dent surnuméraire;dent supplémentaire
dent surnumeraire;dent surnuméraire;dent surnuméraire
dent tournee;rotation;dent tournée
dental arch;arcade;dental arch
dental caries;caries dentaires;dental caries
dentition adulte;dentition permanente;dentition adulte
dentition mixte;dentition mixte;dentition mixte
dentition permanente;dentition permanente;dentition permanente
dentition temporaire;dentition temporaire;dentition temporaire
dentition transitionnelle;dentition mixte;dentition transitionnelle
dents definitives;dentition permanente;dents définitives
dents ecartees;diastème;dents écartées
dents espacees;diastemata;dents espacées
dents lacteales;dentition temporaire;dents lactéales
dents primaires;dentition temporaire;dents primaires
dents transposees;transposition;dents transposées
denture mixte;dentition mixte;denture mixte
denture permanente;dentition permanente;denture permanente
denture temporaire;dentition temporaire;denture temporaire
depassement horizontal;supraposition;dépassement horizontal
deplacement articulaire;luxation;déplacement articulaire
deplacement corporel;translation;déplacement corporel
deplacement distal;distalisation;déplacement distal
deplacement mesial;mésialisation;déplacement mésial
deviation faciale;asymétrie faciale;déviation faciale
deviation laterale;latérodéviation;déviation latérale
deviation mandibulaire;déviation mandibulaire;déviation mandibulaire
deviation maxillaire;déviation maxillaire;déviation maxillaire
devitalisation necessaire;nécrose pulpaire;dévitalisation nécessaire
diasteme central;diastème;diastème central
digital impression;scanner intra-oral;digital impression
disjoncteur palatin;quad helix;disjoncteur palatin
distalisation molaire;pendulum;distalisation molaire
disto occlusion;classe ii d'angle;disto-occlusion
distocclusion dentaire;classe ii d'angle;distocclusion dentaire
douleur dentaire;douleur;douleur dentaire
dysfonction linguale;dysfonction linguale;dysfonction linguale
dysharmonie dentaire;ddm;dysharmonie dentaire
early treatment;traitement interceptif;early treatment
ecartement dentaire;diastème;écartement dentaire
ectopic tooth;ectopie;ectopic tooth
egression dentaire;égression;égression dentaire
elastique separateur;écarteur;élastique séparateur
elastiques intermaxillaires;élastiques intermaxillaires;élastiques intermaxillaires
empreinte dentaire;empreinte;empreinte dentaire
empreinte numerique;scanner intra-oral;empreinte numérique
entassement dentaire;crowding;entassement dentaire
eruption excessive;supraposition;éruption excessive
espace interdentaire;béance;espace interdentaire
espacement generalise;diastemata;espacement généralisé
espaces interdentaires;diastemata;espaces interdentaires
espaces multiples;diastemata;espaces multiples
examen orthodontique;consultation;examen orthodontique
exces mandibulaire;macrognathie;excès mandibulaire
