terme_fr;langue;terme_traduit;fournisseur;type;date
Classe I squelettique;en;Class I skeletal;glossaire;tag;2025-12-12 20:56:57
classe 1 squelettique;en;class 1 skeletal;glossaire;tag;2025-12-12 20:56:57
classe i squelettique;en;class i skeletal;glossaire;tag;2025-12-12 20:56:57
idéal;en;ideal;glossaire;adjectif;2025-12-12 20:56:57
idéale;en;ideal;glossaire;adjectif;2025-12-12 20:56:57
idéaux;en;ideals;glossaire;adjectif;2025-12-12 20:56:57
idéales;en;ideal;glossaire;adjectif;2025-12-12 20:56:57
parfait;en;perfect;glossaire;adjectif;2025-12-12 20:56:57
parfaite;en;perfect;glossaire;adjectif;2025-12-12 20:56:57
parfaits;en;perfect;glossaire;adjectif;2025-12-12 20:56:57
parfaites;en;perfect;glossaire;adjectif;2025-12-12 20:56:57
harmonieux;en;harmonious;glossaire;adjectif;2025-12-12 20:56:57
harmonieuse;en;harmonious;glossaire;adjectif;2025-12-12 20:56:57
harmonieuses;en;harmonious;glossaire;adjectif;2025-12-12 20:56:57
Classe II squelettique;en;Class II skeletal;glossaire;tag;2025-12-12 20:56:57
classe 2 squelettique;en;class 2 skeletal;glossaire;tag;2025-12-12 20:56:57
classe ii squelettique;en;class ii skeletal;glossaire;tag;2025-12-12 20:56:57
division 1;en;division 1;glossaire;adjectif;2025-12-12 20:56:57
div 1;en;div 1;glossaire;adjectif;2025-12-12 20:56:57
div1;en;div1;glossaire;adjectif;2025-12-12 20:56:57
division 2;en;division 2;glossaire;adjectif;2025-12-12 20:56:57
div 2;en;div 2;glossaire;adjectif;2025-12-12 20:56:57
div2;en;div2;glossaire;adjectif;2025-12-12 20:56:57
Classe III squelettique;en;Class III skeletal;glossaire;tag;2025-12-12 20:56:57
classe 3 squelettique;en;class 3 skeletal;glossaire;tag;2025-12-12 20:56:57
classe iii squelettique;en;class iii skeletal;glossaire;tag;2025-12-12 20:56:57
classe I d'Angle;en;Angle class I;glossaire;tag;2025-12-12 20:56:57
Neutrocclusion;en;Neutrocclusion;glossaire;tag;2025-12-12 20:56:57
Neutrocclusionne;en;Neutrocclusionne;glossaire;tag;2025-12-12 20:56:57
Neutrocclusions;en;Neutrocclusions;glossaire;tag;2025-12-12 20:56:57
Neutrocclusionnes;en;Neutrocclusionnes;glossaire;tag;2025-12-12 20:56:57
Occlusion normale;en;Normal occlusion;glossaire;tag;2025-12-12 20:56:57
Occlusions normales;en;Normal occlusions;glossaire;tag;2025-12-12 20:56:57
Relation molaire de Classe I;en;Class I molar relationship;glossaire;tag;2025-12-12 20:56:57
Normocclusion;en;Normocclusion;glossaire;tag;2025-12-12 20:56:57
Normocclusionne;en;Normocclusion;glossaire;tag;2025-12-12 20:56:57
Normocclusions;en;Normocclusions;glossaire;tag;2025-12-12 20:56:57
Normocclusionnes;en;Normocclusion;glossaire;tag;2025-12-12 20:56:57
Classe 1 Dentaire;en;Class 1 Dental;glossaire;tag;2025-12-12 20:56:57
relation molaire neutre;en;neutral molar relationship;glossaire;tag;2025-12-12 20:56:57
relations molaires neutres;en;neutral molar relations;glossaire;tag;2025-12-12 20:56:57
classe 1;en;class 1;glossaire;tag;2025-12-12 20:56:57
classe I;en;Class I;glossaire;tag;2025-12-12 20:56:57
classe dentaire;en;dental class;glossaire;tag;2025-12-12 20:56:57
avec diastèmes;en;with diastemas;glossaire;adjectif;2025-12-12 20:56:57
avecs diastèmes;en;with diastemas;glossaire;adjectif;2025-12-12 20:56:57
avec espaces;en;with spaces;glossaire;adjectif;2025-12-12 20:56:57
avecs espaces;en;with spaces;glossaire;adjectif;2025-12-12 20:56:57
espacé;en;spaced;glossaire;adjectif;2025-12-12 20:56:57
espacée;en;spaced;glossaire;adjectif;2025-12-12 20:56:57
espacés;en;spaced;glossaire;adjectif;2025-12-12 20:56:57
espacées;en;spaced;glossaire;adjectif;2025-12-12 20:56:57
avec encombrement;en;with footprint;glossaire;adjectif;2025-12-12 20:56:57
avecs encombrements;en;with congestion;glossaire;adjectif;2025-12-12 20:56:57
encombré;en;crowded;glossaire;adjectif;2025-12-12 20:56:57
encombrée;en;cluttered;glossaire;adjectif;2025-12-12 20:56:57
encombrés;en;cluttered;glossaire;adjectif;2025-12-12 20:56:57
encombrées;en;cluttered;glossaire;adjectif;2025-12-12 20:56:57
classe II d'Angle;en;Angle class II;glossaire;tag;2025-12-12 20:56:57
Distocclusion;en;Distocclusion;glossaire;tag;2025-12-12 20:56:57
Distocclusionne;en;Distocclusionne;glossaire;tag;2025-12-12 20:56:57
Distocclusions;en;Distocclusions;glossaire;tag;2025-12-12 20:56:57
Distocclusionnes;en;Distocclusions;glossaire;tag;2025-12-12 20:56:57
Rétrognathie dentaire;en;Retrognathia;glossaire;tag;2025-12-12 20:56:57
Rétrognathies dentaires;en;Retrognathia of the teeth;glossaire;tag;2025-12-12 20:56:57
Surplomb horizontal augmenté;en;Increased horizontal overhang;glossaire;tag;2025-12-12 20:56:57
Surplombs horizontaux augmentés;en;Increased horizontal overlaps;glossaire;tag;2025-12-12 20:56:57
Overjet augmenté;en;Overjet increased;glossaire;tag;2025-12-12 20:56:57
Classe 2 Dentaire;en;Class 2 Dental;glossaire;tag;2025-12-12 20:56:57
surplomb horizontal accru;en;increased horizontal overhang;glossaire;tag;2025-12-12 20:56:57
surplombs horizontaux accrus;en;increased horizontal overhangs;glossaire;tag;2025-12-12 20:56:57
distocclusion dentaire;en;dental distocclusion;glossaire;tag;2025-12-12 20:56:57
distocclusions dentaires;en;dental distocclusions;glossaire;tag;2025-12-12 20:56:57
classe 2;en;class 2;glossaire;tag;2025-12-12 20:56:57
classe II;en;class II;glossaire;tag;2025-12-12 20:56:57
disto-occlusion;en;disto-occlusion;glossaire;tag;2025-12-12 20:56:57
disto-occlusionne;en;disto-occlusionne;glossaire;tag;2025-12-12 20:56:57
disto-occlusions;en;disto-occlusions;glossaire;tag;2025-12-12 20:56:57
disto-occlusionnes;en;disto-occlusion;glossaire;tag;2025-12-12 20:56:57
rétrusion dentaire;en;dental retrofusion;glossaire;tag;2025-12-12 20:56:57
rétrusions dentaires;en;dental re-entries;glossaire;tag;2025-12-12 20:56:57
sévère;en;severe;glossaire;adjectif;2025-12-12 20:56:57
sévères;en;severe;glossaire;adjectif;2025-12-12 20:56:57
grave;en;serious;glossaire;adjectif;2025-12-12 20:56:57
graves;en;serious;glossaire;adjectif;2025-12-12 20:56:57
marqué;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquée;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marqués;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquées;en;marked;glossaire;adjectif;2025-12-12 20:56:57
important;en;important;glossaire;adjectif;2025-12-12 20:56:57
importante;en;important;glossaire;adjectif;2025-12-12 20:56:57
importants;en;important;glossaire;adjectif;2025-12-12 20:56:57
importantes;en;important;glossaire;adjectif;2025-12-12 20:56:57
modéré;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérée;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérés;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérées;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
léger;en;light;glossaire;adjectif;2025-12-12 20:56:57
légère;en;slight;glossaire;adjectif;2025-12-12 20:56:57
légers;en;light;glossaire;adjectif;2025-12-12 20:56:57
légères;en;slight;glossaire;adjectif;2025-12-12 20:56:57
division 1;en;division 1;glossaire;adjectif;2025-12-12 20:56:57
div 1;en;div 1;glossaire;adjectif;2025-12-12 20:56:57
div1;en;div1;glossaire;adjectif;2025-12-12 20:56:57
division 2;en;division 2;glossaire;adjectif;2025-12-12 20:56:57
div 2;en;div 2;glossaire;adjectif;2025-12-12 20:56:57
div2;en;div2;glossaire;adjectif;2025-12-12 20:56:57
subdivision;en;subdivision;glossaire;adjectif;2025-12-12 20:56:57
unilatéral;en;unilateral;glossaire;adjectif;2025-12-12 20:56:57
unilatérale;en;unilateral;glossaire;adjectif;2025-12-12 20:56:57
unilatéraux;en;unilateral;glossaire;adjectif;2025-12-12 20:56:57
unilatérales;en;unilateral;glossaire;adjectif;2025-12-12 20:56:57
asymétrique;en;asymmetrical;glossaire;adjectif;2025-12-12 20:56:57
asymétriques;en;asymmetric;glossaire;adjectif;2025-12-12 20:56:57
classe III d'Angle;en;Angle class III;glossaire;tag;2025-12-12 20:56:57
Mésiocclusion;en;Mesiocclusion;glossaire;tag;2025-12-12 20:56:57
Mésiocclusionne;en;Mesiocclusionne;glossaire;tag;2025-12-12 20:56:57
Mésiocclusions;en;Mesiocclusions;glossaire;tag;2025-12-12 20:56:57
Mésiocclusionnes;en;Mesiocclusions;glossaire;tag;2025-12-12 20:56:57
Prognathie dentaire;en;Overshot teeth;glossaire;tag;2025-12-12 20:56:57
Prognathies dentaires;en;Overshot teeth;glossaire;tag;2025-12-12 20:56:57
Occlusion inversée;en;Reverse occlusion;glossaire;tag;2025-12-12 20:56:57
Occlusions inversées;en;Reverse occlusions;glossaire;tag;2025-12-12 20:56:57
Classe 3 Dentaire;en;Class 3 Dental;glossaire;tag;2025-12-12 20:56:57
sous-occlusion dentaire;en;dental underbite;glossaire;tag;2025-12-12 20:56:57
sous-occlusions dentaires;en;dental underbites;glossaire;tag;2025-12-12 20:56:57
mésiocclusion dentaire;en;dental mesiocclusion;glossaire;tag;2025-12-12 20:56:57
mésiocclusions dentaires;en;dental mesiocclusions;glossaire;tag;2025-12-12 20:56:57
classe 3;en;class 3;glossaire;tag;2025-12-12 20:56:57
classe III;en;class III;glossaire;tag;2025-12-12 20:56:57
mésio-occlusion;en;mesio-occlusion;glossaire;tag;2025-12-12 20:56:57
mésio-occlusionne;en;mesio-occlusionne;glossaire;tag;2025-12-12 20:56:57
mésio-occlusions;en;mesio-occlusions;glossaire;tag;2025-12-12 20:56:57
mésio-occlusionnes;en;mesio-occlusal;glossaire;tag;2025-12-12 20:56:57
protrusion;en;protrusion;glossaire;tag;2025-12-12 20:56:57
protrusionne;en;protrudes;glossaire;tag;2025-12-12 20:56:57
protrusions;en;protrusions;glossaire;tag;2025-12-12 20:56:57
protrusionnes;en;protrusion;glossaire;tag;2025-12-12 20:56:57
sévère;en;severe;glossaire;adjectif;2025-12-12 20:56:57
sévères;en;severe;glossaire;adjectif;2025-12-12 20:56:57
grave;en;serious;glossaire;adjectif;2025-12-12 20:56:57
graves;en;serious;glossaire;adjectif;2025-12-12 20:56:57
marqué;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquée;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marqués;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquées;en;marked;glossaire;adjectif;2025-12-12 20:56:57
important;en;important;glossaire;adjectif;2025-12-12 20:56:57
importante;en;important;glossaire;adjectif;2025-12-12 20:56:57
importants;en;important;glossaire;adjectif;2025-12-12 20:56:57
importantes;en;important;glossaire;adjectif;2025-12-12 20:56:57
modéré;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérée;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérés;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérées;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
