# tagssaisis.csv V1.0.7 - 13/12/2025 20:53:38;;;;;;;;
type;MSFSMPFP;canonfr;exceptions;synsaisis;adjsaisis;canonadjs;synonymesfr;adjectifsfr
#;;;;;;;;
# CLASSES SQUELETTIQUES;;;;;;;;
#;;;;;;;;
p;FS;Classe I squelettique;;classe 1 squelettique,classe i squelettique;idéal|parfait|harmonieux, modéré;;classe 1 squelettique,classe i squelettique;idéal|idéale|idéaux|idéales|parfait|parfaite|parfaits|parfaites|harmonieux|harmonieuse|harmonieuses,modéré|modérée|modérés|modérées
p;FS;Classe II squelettique;;classe 2 squelettique,classe ii squelettique;division 1|div 1|div1,division 2|div 2|div2;;classe 2 squelettique,classe ii squelettique;division 1|div 1|div1,division 2|div 2|div2
p;FS;Classe III squelettique;;classe 3 squelettique,classe iii squelettique;;;classe 3 squelettique,classe iii squelettique;
# CLASSES DENTAIRES (D'ANGLE);;;;;;;;
#;;;;;;;;
v;FS;classe I d'Angle;;Neutrocclusion,Occlusion normale,Relation molaire de Classe I,Normocclusion,Classe 1 Dentaire,relation molaire neutre,classe 1,classe I,classe dentaire;avec diastèmes|avec espaces|espacé,avec encombrement|encombré;;Neutrocclusion,Neutrocclusionne,Neutrocclusions,Neutrocclusionnes,Occlusion normale,Occlusions normales,Relation molaire de Classe I,Normocclusion,Normocclusionne,Normocclusions,Normocclusionnes,Classe 1 Dentaire,relation molaire neutre,relations molaires neutres,classe 1,classe I,classe dentaire;avec diastèmes|avecs diastèmes|avec espaces|avecs espaces|espacé|espacée|espacés|espacées,avec encombrement|avecs encombrements|encombré|encombrée|encombrés|encombrées
v;FS;classe II d'Angle;;Distocclusion,Rétrognathie dentaire,Surplomb horizontal augmenté,Overjet augmenté,Classe 2 Dentaire,surplomb horizontal accru,distocclusion dentaire,classe 2,classe II,disto-occlusion,rétrusion dentaire;sévère|grave|marqué|important,modéré|léger,division 1|div 1|div1,division 2|div 2|div2,subdivision|unilatéral|asymétrique;;Distocclusion,Distocclusionne,Distocclusions,Distocclusionnes,Rétrognathie dentaire,Rétrognathies dentaires,Surplomb horizontal augmenté,Surplombs horizontaux augmentés,Overjet augmenté,Classe 2 Dentaire,surplomb horizontal accru,surplombs horizontaux accrus,distocclusion dentaire,distocclusions dentaires,classe 2,classe II,disto-occlusion,disto-occlusionne,disto-occlusions,disto-occlusionnes,rétrusion dentaire,rétrusions dentaires;sévère|sévères|grave|graves|marqué|marquée|marqués|marquées|important|importante|importants|importantes,modéré|modérée|modérés|modérées|léger|légère|légers|légères,division 1|div 1|div1,division 2|div 2|div2,subdivision|unilatéral|unilatérale|unilatéraux|unilatérales|asymétrique|asymétriques
