# templatequestion.csv V1.0.0 - 19/12/2025 16:45:04
id;nb_criteres;type;has_angle;template
1;1;LIST;NON;Affiche les patients avec {T1}?
2;1;LIST;NON;Récupère les patients avec {T1} {A1}?
3;1;LIST;NON;Montre-moi les patients avec {T1} {A1}?
4;1;COUNT;NON;Combien de patients souffrent de {T1} {A1}?
5;1;COUNT;NON;Dénombre les patients ayant {T1}.
6;1;LIST;OUI;Retrouve les patients avec {ANG}.
7;1;LIST;NON;Trouve-moi les {AGE}.
8;1;LIST;NON;Retrouve les patients avec {T1}.
9;1;LIST;NON;Cherche les patients avec {T1}.
10;1;LIST;NON;Affiche-moi les patients avec {T1}.
11;1;LIST;NON;Je cherche les patients avec {T1} {A1}.
12;1;LIST;NON;J'aimerais voir les patients avec {T1}.
13;1;LIST;NON;Cherche les {AGE}.
14;1;COUNT;NON;Combien de patients ont {T1}.
15;1;LIST;NON;Cherche les patients avec {T1} {A1}?
16;1;COUNT;NON;Combien ai-je de patients avec {T1} {A1}.
17;1;COUNT;NON;Compte les patients avec {T1} {A1}?
18;1;COUNT;NON;Combien de patients présentent {T1}?
19;1;LIST;OUI;Cherche les patients avec {ANG}?
20;1;LIST;NON;J'aimerais voir les patients avec {T1}.
21;1;LIST;NON;Trouve-moi les {AGE}.
22;1;COUNT;NON;Combien de patients souffrent de {T1} {A1}.
23;1;COUNT;NON;Dénombre les patients ayant {AGE}?
24;1;COUNT;NON;Combien y a-t-il de patients avec {T1}.
25;1;LIST;NON;J'aimerais voir les {AGE}?
26;2;COUNT;NON;Combien de patients souffrent de {T1} {A1} ayant également {T2} {A2}?
27;2;LIST;NON;Trouve moi les gens avec {T1} {A1}, et {AGE}.
28;2;LIST;NON;Montre moi les cas avec {T1} {A1}, et {T2}.
29;2;LIST;NON;Retrouve les patients présentant {T1} {A1} combiné avec {AGE}.
30;2;COUNT;NON;Combien de patients ont {AGE} et qui ont {T1} {A1}?
31;2;LIST;NON;Montre moi les cas de {T1} {A1} plus {T2} {A2}?
32;2;LIST;NON;Cherche les gens qui ont {T1} {A1} associé à {T2}?
33;2;LIST;NON;Recherche les gens qui ont {T1} {A1}, avec {AGE}.
34;2;LIST;NON;Trouve moi les cas de {T1} {A1} ainsi que {T2}.
35;2;COUNT;NON;Combien de patients présentent {T1} {A1} combiné avec {T2}?
36;2;LIST;NON;Récupère les patients présentant {T1} {A1} et {AGE}.
