# chutier.csv - Créé par search.py - 07/01/2026 14:48:51
langue;mot;nb
cn;剥離;1
de;patientinnen;1
de;frontzahnlucke;1
en;number;1
es;com;1
es;unos;1
es;14;1
es;severo;1
it;di;2
it;ai;2
it;39;2
it;dei;2
it;denti;2
it;senso;2
it;antiorario;2
ja;口唇安静位で右側過蓋咬合の患者を見せてください。;16
ja;からん;4
ja;う;4
ja;bruxisme;3
ja;5.414999999999999;3
ja;どの患者が即時抜歯を必要とするか;3
ja;béance;2
ja;face;2
pt;ado;1
pt;diabète;1
unknown;behanz;1
unknown;latéral;1
unknown;gauche;1
unknown;bruxelles;1
unknown;esprit es tu là;1
unknown;xyz_inconnu;1
