# fakerecherche.csv V1.0.2 - 07/01/2026 21:14:33;;;;;;;;;;;;;;;;;;;;;;;
module;timestamp;temps_ms;languesaisie;langueutilisee;modulelangue;questionoriginale;question;filtres;sql;tri;base;mode;moteur;nb_patients;pathologies;ages;residu;erreur;session_id;ip_utilisateur;rating;type_probleme;commentaire
search.py;01/12/2025 00:35;990;es;es;glossaire;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""bruxisme"", ""label"": ""bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""bruxisme""}}]}";;;base100.db;standard;;26;bruxisme;;;;80dc9ca2-475f-41a0-943d-8db0d13e32b1;127.0.0.1;👍;;Super outil, très pratique !
search.py;01/12/2025 08:48;18;Auto;fr;glossaire_fr;bruxisme;bruxisme;;;;base100.db;standard;;26;;;;;554aad2e-b2f4-47d0-84ff-b20c09d7a98d;192.168.1.7;👎;Trop de patients;Impossible de trier autant de patients.
search.py;01/12/2025 13:03;0;es;es;;bruxisme;bruxisme;"{""criteres"": []}";;;base100.db;standard;;0;;;;Erreur chargement références: charger_modeles_ia() got an unexpected keyword argument 'debug';e8379c0a-1001-43a9-8c40-98b75799805d;127.0.0.1;👎;Autre;Besoin d'aide pour comprendre.
search.py;01/12/2025 14:50;21;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;3f6ecaa9-146f-4caf-8b9c-7626f130e3f8;127.0.0.1;👎;Autre;Fonctionnement étrange.
search.py;02/12/2025 11:09;23;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;c5d9f39d-0fd3-4e80-a1b7-c0b1ebf9589c;192.168.1.190;👎;Autre;Je ne sais pas quoi penser.
search.py;03/12/2025 18:01;24;Auto;fr;glossaire_fr;bruxisme;bruxisme;;;;base100.db;standard;;26;;;;;6620f2c8-6935-42fd-9590-a27046a4d126;127.0.0.1;👍;;Recherche impeccable !
search.py;03/12/2025 20:57;2581;es;es;glossaire;bruxisme;bruxisme;"{""criteres"": []}";;;base100.db;standard;;100;;;bruxisme;;b25ddc2b-c738-48a4-8e23-fef06b8c49b6;127.0.0.1;👎;Autre;Erreur incompréhensible.
search.py;04/12/2025 07:02;33;ja;ja;glossaire_resolution;歯軋り;bruxomanie;;;;base100.db;standard;;26;;;;;0774b769-aabd-4a56-9079-eb15235e71b7;127.0.0.1;👎;Trop de patients;Impossible de trier autant de patients.
search.py;04/12/2025 10:03;30;Auto;fr;fallback;ia;ia;"{""criteres"": []}";;;base100.db;standard;;100;;;ia;;aea21f6b-c188-44a8-8cef-e7b3059afa01;127.0.0.1;👍;;Très satisfait de cette recherche.
search.py;04/12/2025 15:40;55;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;4ce1cb22-7085-4843-b896-f1a612305316;127.0.0.1;👎;Trop de patients;Impossible de trier autant de patients.
search.py;04/12/2025 17:18;55;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;2d06c266-cea6-4bc6-b52a-940f018ade05;127.0.0.1;👎;Bug IHM;Erreur d'affichage des résultats.
