nomdufichier;version;timestamp
conv_cerbere.md;V1.0.6;31/12/2025 10:25:47
Prompt_cerbere.md;V1.0.6;31/12/2025 10:25:47
conv_structurebase.md;V1.0.4;12/12/2025 21:05:43
Prompt_tags2refs.md;V1.0.3;12/12/2025 21:05:43
tagssaisis.csv;V1.0.7;13/12/2025 20:53:38
sexeorigine.csv;V1.0.1;07/12/2025 22:30:55
Prompt_standardise.md;V1.0.0;07/12/2025 19:20:53
tagsfr.csv;V1.0.0;07/12/2025 19:32:53
tagssaisis2tagsfr.py;V1.0.0;07/12/2025 19:32:53
conv_tagsintl.md;V1.0.6;08/12/2025 18:23:00
Prompt_tagssaisis2tagsfr.md;V1.0.0;07/12/2025 19:33:53
Prompt_saisis2fr.md;V1.0.2;07/12/2025 22:34:55
saisis2fr.py;V1.0.1;07/12/2025 19:56:53
conv_generepat.md;V1.0.1;08/12/2025 00:12:57
fr2tags.py;V1.0.12;12/12/2025 20:52:42
Prompt_fr2tags.md;V1.0.7;12/12/2025 20:52:42
commun.csv;V1.0.0;07/12/2025 20:36:54
portraits.csv;V1.0.0;07/12/2025 22:24:55
conv_patN_csv.md;V1.0.2;08/12/2025 17:11:59
generepats.py;V1.0.8;24/12/2025 17:39:09
pats100.csv;V1.0.0;07/12/2025 23:47:56
pats1000.csv;V1.0.2;08/12/2025 17:11:59
Prompt_generepats.md;V1.0.4;24/12/2025 17:39:10
stats1000_age.csv;V1.0.0;07/12/2025 23:47:56
stats1000_tags.csv;V1.0.0;07/12/2025 23:47:56
stats100_age.csv;V1.0.0;07/12/2025 23:47:56
stats100_tags.csv;V1.0.0;07/12/2025 23:47:56
generepatients.py;V1.0.0;08/12/2025 00:12:57
pats20.csv;V1.0.1;08/12/2025 17:11:59
conv_phrasecorrecte.md;V1.0.3;08/12/2025 20:29:02
exquis.csv;V1.0.0;08/12/2025 00:15:57
synadjs.csv;V1.0.2;27/12/2025 19:46:56
syntags.csv;V1.0.2;27/12/2025 19:46:56
tags2synta.py;V1.0.1;08/12/2025 17:12:59
Doc_pipeline.md;V1.0.0;08/12/2025 17:39:00
tags_audit1.csv;V1.0.0;08/12/2025 19:06:01
