# meme.csv V1.0.0 - 13/01/2026 18:43:31
# Format : question (à passer à trouve.py base1000.db "question")
# Généré le 13/01/2026
question;attendu
même pathologie que Guillaume Moulin;pathologie
même age que Hélène Joly;age
même sexe que Caroline Labbé;sexe
même portrait que Richard Fernandez;portrait
même tag que id 6;tag
identique pathologie que Bernadette Carpentier;pathologie
similaire age comme Eugène Auger;age
même nom que Victor Boutin;nom
même prénom que Leila El Amrani;prenom
même pathologie pareil a Geneviève Pons;pathologie
