# translations_kitviewmanuals_fr_en.csv V1.0.0 - 22/01/2026 15:09:00
"id";"section";"tag";"context";"fr";"en";"status"
"txt_0001";"presentation";"h2";"titre_section";"📋 1. Présentation générale";"[AUTO] 📋 1. Présentation générale";"TODO"
"txt_0002";"presentation";"p";"paragraphe";"Kitview est une médiathèque numérique conçue pour les cabinets d'orthodontie. Elle permet de gérer tous types de fichiers multimédia associés aux dossiers patients :";"[AUTO] Kitview est une médiathèque numérique conçue pour les cabinets d'orthodontie. Elle permet de gérer tous types de fichiers multimédia associés aux dossiers patients :";"TODO"
"txt_0003";"presentation";"caption";"légende_image";"Interface principale de Kitview avec la liste des patients et les vignettes";"[AUTO] Interface principale de Kitview avec la liste des patients et les vignettes";"TODO"
"txt_0004";"presentation";"li";"liste";"**Photos** : portraits, photos intra-buccales, photos de face/profil";"[AUTO] **Photos** : portraits, photos intra-buccales, photos de face/profil";"TODO"
"txt_0005";"presentation";"li";"liste";"**Radios** : panoramiques, téléradiographies";"[AUTO] **Radios** : panoramiques, téléradiographies";"TODO"
"txt_0006";"presentation";"li";"liste";"**Scans 3D** : modèles numériques";"[AUTO] **Scans 3D** : modèles numériques";"TODO"
"txt_0007";"presentation";"li";"liste";"**Documents** : PDF, courriers, compte-rendus";"[AUTO] **Documents** : PDF, courriers, compte-rendus";"TODO"
"txt_0008";"presentation";"li";"liste";"**Vidéos et audio**";"[AUTO] **Vidéos et audio**";"TODO"
"txt_0009";"presentation";"note";"note_tip";"💡 Conseil | Kitview s'intègre avec votre logiciel de gestion de cabinet pour synchroniser automatiquement la liste des patients.";"[AUTO] 💡 Conseil | Kitview s'intègre avec votre logiciel de gestion de cabinet pour synchroniser automatiquement la liste des patients.";"TODO"
"txt_0010";"gestion-patients";"h2";"titre_section";"👥 2. Gestion des patients";"[AUTO] 👥 2. Gestion des patients";"TODO"
"txt_0011";"gestion-patients";"h3";"sous_titre";"Créer un nouveau patient";"[AUTO] Créer un nouveau patient";"TODO"
"txt_0012";"gestion-patients";"h3";"sous_titre";"Supprimer une fiche patient";"[AUTO] Supprimer une fiche patient";"TODO"
"txt_0013";"gestion-patients";"h3";"sous_titre";"Photo d'identité";"[AUTO] Photo d'identité";"TODO"
"txt_0014";"gestion-patients";"p";"paragraphe";"Pour créer une nouvelle fiche patient dans Kitview :";"[AUTO] Pour créer une nouvelle fiche patient dans Kitview :";"TODO"
