#stats100000_age.csv v1.0.0 - 24/12/2025 17:29:28
age;effectif;pourcentage
5;6710;6.71
6;2545;2.54
7;3031;3.03
8;3744;3.74
9;4427;4.43
10;4878;4.88
11;5691;5.69
12;6077;6.08
13;6345;6.35
14;6579;6.58
15;6666;6.67
16;6434;6.43
17;5924;5.92
18;5613;5.61
19;5034;5.03
20;4312;4.31
21;3694;3.69
22;3037;3.04
23;2415;2.42
24;1861;1.86
25;1494;1.49
26;1092;1.09
27;799;0.80
28;573;0.57
29;367;0.37
30;237;0.24
31;179;0.18
32;95;0.10
33;57;0.06
34;37;0.04
35;23;0.02
36;13;0.01
37;8;0.01
38;3;0.00
39;3;0.00
40;2;0.00
41;1;0.00
