#stats25000_tags.csv v1.0.0 - 13/02/2026 18:56:18
canontag;canonadj;effectif
béance;;9225
bruxisme;;6271
bruxisme;nocturne;2585
bruxisme;sévère;2541
bruxisme;diurne;2484
bruxisme;modéré;2472
béance;gauche;2190
béance;postérieure;2161
béance;sévère;2134
béance;modérée;2120
béance;droite;2073
béance;antérieure;2051
béance;latérale;2031
gingivite;;299
auxiliaire;;297
égression;;297
classe i squelettique;;295
dysfonction linguale;;292
déviation mandibulaire;;290
aéro;;289
contention;;289
prognathie mandibulaire;;285
agénésie;;279
arc transpalatin;;273
ancrage;;272
arthrite;;272
contrôle;;272
linguo-version;;272
édentation;;270
facette;;269
protrusion;;268
canine;;268
arthrose;;267
vestibulo-version;;267
panoramique;;266
proglissement;;266
macrodontie;;265
propulsor;;265
incisives latérales;;264
ankylose;;263
stripping;;263
rétrognathie maxillaire;;263
translation;;263
mandibule normopositionnée;;262
occlusion inversée;;262
diastemata;;261
scanner intra-oral;;261
classe i d'angle;;260
gouttière;;259
fente;;258
favori;;257
douleur;;257
latérodéviation;;257
luxation méniscale;;257
classe ii d'angle;;256
occlusion croisée;;256
érosion;;256
fracture;;255
bagues;;255
maxillaire normopositionné;;255
ventilation nasale;;255
photographie clinique;;255
molaire;;254
microdontie;;254
plaque éventail;;254
ectopie;;253
incisives palatinées;;253
alignement;;253
plaque papillon;;253
classe ii squelettique;;253
transposition;;253
ddm;;252
rotation;;252
nivellement;;251
empreinte;;251
avulsion;;250
minivis;;249
mainteneur d'espace;;249
luxation;;249
ostéotomie;;249
élastiques intermaxillaires;;248
déviation maxillaire;;248
interposition linguale;;248
dysplasie;;247
récidive;;247
composite;;247
orthodontie linguale;;247
fluorose;;246
diabète;;246
bielles;;245
dentition mixte;;245
nécrose pulpaire;;245
céramique;;245
malocclusion;;245
analyse de bolton;;245
croissance;;244
plaque y;;244
claquement articulaire;;243
maladie parodontale;;243
résorption radiculaire;;243
pendulum;;243
macrognathie;;242
crowding;;242
récession gingivale;;242
éruption ectopique;;242
débandage;;242
implant;;242
supraclusion;;242
mésialisation;;242
céphalométrie;;241
dent surnuméraire;;241
apnée du sommeil;;241
malposition;;241
respiration buccale;;241
déglutition;;240
overjet;;240
ingression;;240
force orthodontique;;240
rétrocheilie;;240
torque;;239
traitement interceptif;;239
inclusion;;239
engrènement;;239
détartrage;;239
éruption;;239
dtm;;238
micrognathie;;238
dentition temporaire;;237
consultation;;237
caries dentaires;;236
rétrognathie mandibulaire;;236
procheilie;;236
écarteur;;236
métal;;235
rétroalvéolie;;235
succion;;234
onychophagie;;234
asymétrie faciale;;234
distalisation;;234
chirurgie;;234
plaque amovible;;233
activateur;;231
endoalvéolie;;231
phonation;;230
urgence;;230
dentition permanente;;230
niti;;229
classe iii squelettique;;227
arc orthodontique;;226
ressaut articulaire;;226
bipro;;225
ef;;224
atm;;222
prognathisme maxillaire;;222
scanner;;221
quad helix;;219
version;;219
mastication;;217
diastème;;215
wits;;214
classe iii d'angle;;213
prémolaire;;209
classe i squelettique;modérée;190
gingivite;modérée;189
dysfonction linguale;sévère;189
classe i squelettique;idéale;188
gingivite;sévère;186
diastemata;centraux;180
dysfonction linguale;modérée;178
douleur;infectieuse;174
incisives latérales;maxillaires;169
classe i d'angle;encombrée;169
prognathie mandibulaire;sévère;169
contention;fixe;169
prognathie mandibulaire;modérée;169
incisives latérales;mandibulaires;168
ancrage;mandibulaire;167
proglissement;gauche;166
ancrage;maxillaire;164
chirurgie;traumatique;164
contention;amovible;164
rétrognathie maxillaire;sévère;161
rétrognathie maxillaire;modérée;161
dentition temporaire;incluse;161
fracture;maxillaire;160
ostéotomie;mandibulaire;160
dysplasie;sévère;159
ankylose;maxillaire;158
succion;digitale;158
gouttière;chirurgicale;158
macrodontie;mandibulaire;157
ankylose;mandibulaire;157
proglissement;droite;157
macrodontie;maxillaire;156
fracture;mandibulaire;156
ostéotomie;maxillaire;155
ectopie;mandibulaire;154
overjet;sévère;152
classe ii squelettique;modérée;152
récidive;sévère;152
molaire;maxillaire;151
force orthodontique;modérée;151
prognathisme maxillaire;sévère;151
overjet;modéré;151
éruption;ectopique;151
respiration buccale;modérée;151
résorption radiculaire;modérée;151
molaire;mandibulaire;150
ectopie;maxillaire;150
dysplasie;modérée;149
inclusion;maxillaire;149
diastème;central;148
récidive;modérée;148
rétrognathie mandibulaire;modérée;147
prognathisme maxillaire;modéré;147
maladie parodontale;modérée;147
gouttière;invisible;147
résorption radiculaire;sévère;147
micrognathie;maxillaire;146
maladie parodontale;sévère;146
rétrognathie mandibulaire;sévère;145
respiration buccale;sévère;145
microdontie;maxillaire;144
éruption;retardée;144
classe ii squelettique;sévère;143
force orthodontique;sévère;143
apnée du sommeil;modérée;143
micrognathie;mandibulaire;142
dent surnuméraire;mandibulaire;142
microdontie;mandibulaire;140
inclusion;mandibulaire;138
classe iii squelettique;modérée;134
macrognathie;mandibulaire;132
supraclusion;antérieure;131
classe iii squelettique;sévère;131
fente;labiale;130
apnée du sommeil;sévère;127
fente;labio-palatine;126
déviation maxillaire;antérieure;126
macrognathie;maxillaire;126
dent surnuméraire;maxillaire;125
fente;palatine;122
écarteur;maxillaire;121
supraclusion;modérée;120
supraclusion;sévère;119
protrusion;maxillaire;119
déviation maxillaire;droite;117
déviation maxillaire;gauche;117
bipro;incisive;117
classe iii d'angle;sévère;115
déviation mandibulaire;gauche;114
écarteur;sévère;114
écarteur;modéré;114
déviation mandibulaire;droite;114
canine;incluse;112
édentation;complète;112
déviation mandibulaire;modérée;112
canine;ectopique;111
édentation;maxillaire;111
canine;maxillaire;111
classe iii d'angle;unilatérale;111
ddm;sévère;110
déviation mandibulaire;sévère;110
latérodéviation;gauche;110
classe iii d'angle;modérée;110
malposition;sévère;109
avulsion;immédiate;109
protrusion;mandibulaire;108
bipro;maxillaire;108
bipro;sévère;106
ddm;maxillaire;106
protrusion;sévère;105
procheilie;sévère;104
endoalvéolie;modérée;104
ddm;mandibulaire;103
ddm;modérée;103
malposition;maxillaire;103
canine;mandibulaire;103
édentation;totale;102
édentation;mandibulaire;102
agénésie;mandibulaire;101
rétrocheilie;modérée;100
malposition;modérée;100
endoalvéolie;mandibulaire;100
agénésie;maxillaire;100
asymétrie faciale;gauche;99
malposition;mandibulaire;99
rétrocheilie;maxillaire;99
agénésie;bilatérale;99
protrusion;modérée;98
avulsion;différée;97
occlusion inversée;modérée;97
récession gingivale;modérée;96
avulsion;totale;95
rétroalvéolie;sévère;95
procheilie;mandibulaire;94
asymétrie faciale;sévère;93
latérodéviation;sévère;93
asymétrie faciale;droite;93
latérodéviation;droite;93
occlusion inversée;postérieure;93
récession gingivale;maxillaire;92
rétrocheilie;mandibulaire;92
endoalvéolie;sévère;92
rétroalvéolie;mandibulaire;92
rétrocheilie;sévère;91
dtm;bilatéral;91
agénésie;unilatérale;91
procheilie;modérée;90
latérodéviation;modérée;90
endoalvéolie;maxillaire;90
avulsion;programmée;90
procheilie;maxillaire;89
rétroalvéolie;maxillaire;89
occlusion inversée;antérieure;89
asymétrie faciale;modérée;88
dtm;droit;87
récession gingivale;sévère;87
agénésie;latérale;87
rétroalvéolie;modérée;85
luxation méniscale;réductible;85
récession gingivale;mandibulaire;83
luxation méniscale;gauche;82
occlusion inversée;sévère;82
crowding;mandibulaire;80
occlusion inversée;latérale;80
dtm;modéré;77
dtm;gauche;76
classe ii d'angle;division 1;76
crowding;maxillaire;76
classe ii d'angle;division 2;76
luxation méniscale;unilatérale;76
malocclusion;sévère;76
classe ii d'angle;sévère;75
crowding;antérieur;75
malocclusion;maxillaire;75
dtm;sévère;74
luxation méniscale;bilatérale;74
classe ii d'angle;unilatérale;73
crowding;sévère;73
classe ii d'angle;modérée;73
luxation méniscale;droite;73
malocclusion;mandibulaire;72
malocclusion;modérée;71
crowding;modéré;69
malocclusion;droite;69
malocclusion;gauche;59
occlusion croisée;droite;47
occlusion croisée;antérieure;46
occlusion croisée;latérale;43
occlusion croisée;gauche;42
occlusion croisée;sévère;41
occlusion croisée;bilatérale;40
occlusion croisée;postérieure;39
occlusion croisée;unilatérale;38
occlusion croisée;modérée;34
